Pattern String,Comment,Pattern Category,Pattern Type,Where in website?,Deceptive?,Website Page
Trending now! Added to basket 490 times today,Product image,Social Proof,Activity Notification,Product Page,No,https://www.lovecrochet.com/us/paintbox-yarns-cotton-dk#
Trending now! Added to basket 38 times today,Product image,Social Proof,Activity Notification,Product Page,No,https://www.loveknitting.com/us/rowan-kidsilk-haze
"Jacob in Seymour, Wisconsin, United States purchased a Bass XL just now!",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.luckytacklebox.com/products/bass-tournament-series
IN 43 PEOPLE'S SHOPPING BAG,Product image top left corner,Social Proof,Activity Notification,Product Page,No,https://www.maccosmetics.co.uk/product/13825/57811/products/skincare/primers/prep-prime-fix-mattifying-mist
MOST POPULAR,The membership is most popular,Social Proof,Activity Notification,Product Page,No,https://www.madison-reed.com/product/firenze-brown
660 people have viewed today,Product image,Social Proof,Activity Notification,Product Page,No,https://www.mandmdirect.com/01/details/LT3552/Lyle-And-Scott-Vintage-Mens-Halket-Canvas-Pumps-White
113 people have viewed in the last 24hrs,Product image,Social Proof,Activity Notification,Product Page,No,https://www.mandmdirect.ie/01/details/NB1508/New-Balance-Mens-Flash-V2-Lightweight-Speed-Running-Shoes-Black-Team-Royal
407 customers have viewed this item recently,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.menkind.co.uk/mini-massage-cushion
Fast Mover: 35 PEOPLE added this to cart today!,Lower left corner,Social Proof,Activity Notification,Product Page,No,https://www.mirraw.com/designers/trishulom-cloths-online/designs/neavy-blue-taffeta-silk-embroidered-lahenga-choli-lehenga-choli
"Someone from Portland, United States (US) purchased MODALERT recently.",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.modafinilstar.com/?product=waklert
22 people have looked at this part recently,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.moparpartsoverstock.com/p/Dodge_2018_Challenger/Audio-Speaker-Premium-upgrade-includes-two-6X9-midbase-Speakers-and-two-35-2-way-Instrument-Panel/11302475/82214735.html
"Someone from South Gate, California just purchased the Admiral JR / Spektrum Servo Connector Plug Set (Male and Female - 2 Pairs)",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.motionrc.com/products/freewing-avanti-s-red-pnp?ras=featured-products&utm_source=retailreco&utm_medium=onsite&utm_campaign=featured-products&fp=1
Someone in Red Cliffs bought a RHK Yamaha YZ/YZF/WRF 99-16 Blue Pursuit Footpegs 3 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.mxstore.com.au/p/Cycra-KTM-SXF-EXC-450-500-Full-Combat-Skid-Plate/CY6215-12
This product was viewed 26 seconds ago by someone from Princeton,Popup left bottom corner,Social Proof,Activity Notification,Product Page,No,https://www.mxstore.com.au/p/Cycra-KTM-SXF-EXC-450-500-Full-Combat-Skid-Plate/CY6215-12
"Laurie in Urraween, Queensland bought No Brainer USB Charging Anti-Theft Backpack",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.myantitheftbackpack.com/products/usb-charging-anti-theft-backpack
"Carol in St. Louis, Missouri bought Original USB Charging Anti-Theft Backpack",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.myantitheftbackpack.com/products/usb-charging-anti-theft-backpack
8 people have this in their bag right now.,Product image,Social Proof,Activity Notification,Product Page,No,https://www.na-kd.com/en/na-kd/womens-day-tee-white
Purchased 100+ times in the last few days.,Product image,Social Proof,Activity Notification,Product Page,No,https://www.na-kd.com/en/na-kd/womens-day-tee-white
Someone in Pittsworth bought a Ultimate COLT Anal Training Kit 2 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.naughtyboy.com.au/pharmquests-fistit-numbing-500-ml
"Carl F. from Fort Ann, NY bought a King",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.nectarsleep.com/mattress
1 people are viewing this currently,Product detail. Randomized.,Social Proof,Activity Notification,Product Page,Yes,https://www.netmeds.com/prescriptions/dazit-5mg-tablet-10-s
92 customers bought this in the last 48 hours,Product image,Social Proof,Activity Notification,Product Page,No,https://www.next.co.uk/g722252s3#947539
62 people have looked at this item in the last few hours.,Product image,Social Proof,Activity Notification,Product Page,No,https://www.next.co.uk/g722252s3#947539
13 people have added this to their cart,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.onceit.co.nz/products/1682847/calvin-klein-eternity-for-her-edp-50-ml
"GRACE from ORLANDO, United States bought Camouflage Jumpsuit 31 minutes ago          ",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.onepiece.com/en-us/all/terry-churchill-jumpsuit-vintage-green
"Someone in Vancouver, Washington purchased a Orthofeet Men's Orthotic Insoles about 38 minutes",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.orthofeet.com/products/sandy-silver-stretchable
Leslie in USA just Purchased Special Design Exclusive Handmade Silver Ring,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.ottasilver.com/tasbihs/pearl-stone-silver-sculpture-model-tesbih-with-silver
135 people have this in their cart,Product detail,Social Proof,Activity Notification,Cart Page,No,https://www.overstock.com/Home-Garden/Mervynn-Mid-Century-Fabric-Recliner-Club-Chair-Set-of-2-by-Christopher-Knight-Home/20603810/product.html?TID=Cart:Link:ProductLink:CartItems
Add to Wish List(13 People Have Added),Product detail,Social Proof,Activity Notification,Product Page,No,https://www.pandahall.com/p-1608228-shell-bead-strands-dyed-plum.html?areaType=BestSellers&p=1&i=1&paLb=List
77 PEOPLE LIKE THIS,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.paperwishes.com/products/7271250000
43 added to bag in the last 48hrs,Product image,Social Proof,Activity Notification,Product Page,No,https://www.burton.co.uk/en/bruk/product/sale-offers-1935754/mens-sale-view-all-6870632/2-piece-black-essential-skinny-fit-suit-8603567
"Shopper from Saint John, NB viewed Lenovo ThinkCentre M710t 10M9000RUS Desktop Computer 3 minutes ago!",Ticker at the top of the page,Social Proof,Activity Notification,Product Page,No,https://www.pc-canada.com/item/CF360X.html
Over 200 views in 24 hrs,Product detail ,Social Proof,Activity Notification,Product Page,No,https://www.pcworld.co.uk/gbuk/computing-accessories/printers-scanners-and-ink/printers/epson-ecotank-et-2650-all-in-one-wireless-inkjet-printer-10157854-pdt.html
227 Bought Already,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.pigsback.com/en-ie/offer/420606/farnham-estate-spa-golf-resort
POPULAR 62 others checked this out in the last few hours.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.prettylittlething.com.au/yellow-cheetah-cut-out-wrap-around-swimsuit.html
POPULAR 64 others checked this out in the last few hours.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.prettylittlething.us/freyana-rose-gold-sequin-detail-long-sleeve-bodycon-dress.html 
"Israël in Metz, France purchased a More ADVANCED Chord Substitutions",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.prettysimplemusic.com/collections/refresh-video-collection/products/play-like-you-1-2
"Someone in Cashmere bought a 
RCM Cosworth Timing Belt Kit 99-02MY EJ20/22/251 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.prospeedracing.com.au/mazdaspeed-turbo-inlet-hose
Viewed 744 times today,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.rebelliousfashion.co.uk/black-tapered-belted-cigarette-trousers-myasia.html#b_rwc-201-1553002378-24411
"2,229 people have viewed this item",Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
715 people have added this item to cart,Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
71 people have purchased this item,Popup right side,Social Proof,Activity Notification,Product Page,No,https://www.retro-stage.com/collections/floral-dresses/products/white-1950s-floral-swing-dress
12 customers viewed this product today!,Right corner,Social Proof,Activity Notification,Product Page,No,https://www.robinsons.com.sg/collections/shu-uemura/products/the-lightbulb-cushion-foundation-764
"Nancy in Pennsylvania purchased 24"" Italian Sterling Silver Milano Twist Adjustable Chain",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.romadesignerjewelry.com/products/sterling-silver-hammered-teardrop-earrings
"Armin Dinovic bought 10M Runescape 3 Gold Order total: 3,70€ About 10 seconds ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.rpgstash.com/runescape/osrs-rogue-chest.html
"Trey in Columbia, United States purchased Leather Cord Capsule",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.rustico.com/collections/for-the-grad/products/sidekick-leather-cord-wrap
"Abbie in Calwell, Australia purchased Shark Bite Socks about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sandcloud.com/collections/towels/products/mandala-sea-turtle-towel
6 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,No,https://www.schuh.co.uk/womens/vans-slip-on-lite-2-tone-black-and-pink-trainers/1974839370/
7 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,No,https://www.schuh.eu/en-eu/womens/nike-air-force-1-07-lv8-jdi-black-and-white-trainers/1960657260/
6 customers have this in their basket,Product image,Social Proof,Activity Notification,Product Page,No,https://www.schuh.ie/womens/homeys-lana-navy-and-orange-slippers/1799019970/
Someone in Boling Iago Texas United States Purchased Seek Discomfort Sketch White iPhone Case 5 hours ago,Periodoc popup,Social Proof,Activity Notification,Product Page,No,https://www.seekdiscomfort.com/products/seek-discomfort-sketch-white-iphone-case
Selling fast! Add to bag 7 times in the last 48 hours.,Product image. Top right corner.,Social Proof,Activity Notification,Product Page,No,https://www.shoeaholics.com/brands/women/carvela-kurt-geiger/spectacle-white-leather-carvela-kurt-geiger
228 People Have Viewed This Product Recently!,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.shoppersstop.com/p-204831494_9418/colorChange?colorCode=204831494_9418&currentPosition=3&searchQueryUrl=https%3A%2F%2Fwww.shoppersstop.com%2Fwomen-indianwear%2Fc-A2010%3Fq%3D%253AtopRated%253AinStockFlag%253Atrue%253Abrands%253AKASHISH%253Abrands%253AHAUTE%2BCURRY%253Abrands%253ASTOP%253AallPromotions%253AFlat%2B50%2525%2BOff%26text%3D%26startRange%3D%26endRange%3D%26showType%3D%26icid%3Dbrandsshoppersstop%7Chomepg%7C1-4%7Cwomenindianwear&totalResultVal=727&searchPageType=categor
"Sandeep in Hawthorne, California bought Sadie Ponte Pants - Black Just Now",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.shoppriceless.com/products/sadie-ponte-pants-black?variant=121973506064&utm_source=fomo&utm_medium=notification
jennifer just bought Rainbow Moonstone Healing Heartabout 6 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sivanaspirit.com/collections/best-sellers-1/products/gemstone-power-minis
3 other people are currently viewing this item.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.skatedeluxe.com/en/polar-skateboards-stripe-logo-t-shirt-black_p123470?sort=new&view=manu&brand_id=345
"Someone in Petaling Jaya, Malaysia just bought SNEAKERGUARD Midsole Paint Marker - BOOST White",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.slickieslaces.com/collections/japanese-katakana-kanji-shoe-laces/products/limited-edition-nmd-ultra-boost-basics-flat-laces-og-katakana-black
"Oliver in Rotterdam, Netherlands purchased a England Away Soccer Shorts 2018 About 9 hours ago",Periodic popup. Fake messages.,Social Proof,Activity Notification,Product Page,Yes,https://www.soccerlord.se/product/atlanta-united-home-soccer-jersey-2019/
"Michael in Pontiac, United States purchased a  ",Periodic popup. Need to wait for a bit. Appears in bottom left as others.,Social Proof,Activity Notification,Product Page,No,https://www.spartanarmorsystems.com/ar550-body-armor-shooters-cut-and-spartan-plate-carrier-entry-level-package/
Other 2 customers have it in their cart.,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.spotmodel.com/product_info.php?products_id=13043
"Trey in Sparta, United States purchased Stealth Angel Ultra Lightweight & Portable Sleeping Bag about 45 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.stealthangelsurvival.com/products/compact-tactical-kit
1044 sold in past 12 months,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.strawberrynet.com/en-us/makeup/maybelline/volum--express-the-colossal-mascara/188061/
2 customers recently bought it,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.stylepit.com/vans-black-ua-sk8-hi-black-blac-335337-4
"Tambria in Hattiesburg just bought Peruvian Virgin Natural Wave Hair 3 Bundles with Lace Frontal, 100% Human Virgin Hair ",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.sunberhair.com/collections/curly-hair/products/brazilian-curly-virgin-hair-lace-frontal-with-bundles-100-human-hair-extensions-wefts
2 PEOPLE HAVE ADDED THIS ITEM TO THEIR CART TODAY,Product image,Social Proof,Activity Notification,Product Page,No,https://www.sunglasses-shop.co.uk/prada/pr60vs/rose-gold--bordeaux-400408/57272?tmsb=tay13mz&tmrl=dbzzt&tmsl=4-product-carousel&tmty=w&tmcv=39&tmcs=1jaz5z5
One customer bought this article in the last 53 min.,Description of product,Social Proof,Activity Notification,Product Page,No,https://www.tennis-point.com/adidas-parley-polo-men-white-petrol-00544612336000.html
Someone in Mount Louisa bought a Coleman Folding Table & Bench Set 2 minutes ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.tentworld.com.au/buy-sale/tas-centurion-boot-camouflage
2+ people just viewed this product,Product detail. Above product title.,Social Proof,Activity Notification,Product Page,No,https://www.thebodyshop.com.my/what-s-hot/new-in/skin-defence-multi-protection-face-mist-spf45-pa.html
Over 238 people have bought this product,Product detail,Social Proof,Activity Notification,Product Page,No,https://www.theinsolestore.com/form-maximum-support-insole.html
994 items sold this hour.,Popup in right bottom corner,Social Proof,Activity Notification,Product Page,No,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
Sara from Philadelphia just saved $68 on her order.,"Popup in right bottom corner. All items are ""just saved"" even if they have been sold for a while.",Social Proof,Activity Notification,Product Page,Yes,https://www.thredup.com/product/women-express-red-long-sleeve-blouse/50386726
52 people have added this product to bag in the last 72 hours,Product image,Social Proof,Activity Notification,Product Page,No,https://www.tkmaxx.com/home/hobbies+leisure/luggage+travel-accessories/travel-accessories/black-folding-backpack/p/19016368
"Natalie in Graham, United States purchased a FREE BTS Answer Magic Pillow about 1 hour ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.totemokawaiishop.com/products/sky-blue-pastel-bts-hoodie
Someone from purchased a HOLEES Original Ladies II - Navy About 9 hours ago,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.treds.co.uk/womens/flip-flops/free-waters/becca-print/cali/45x5
4 bought in the last 24 hours.,Product image,Social Proof,Activity Notification,Product Page,No,https://www.trespass.com/munros-womens-dlx-waterproof-down-jacket
Someone in Spain purchased,Periodic popup.,Social Proof,Activity Notification,Product Page,No,https://www.vapevandal.com/products/vape-vandal-logo-black-t-shirt
137 users are currently active on our website,Popup in the bottom of page,Social Proof,Activity Notification,Product Page,No,https://www.vapoureyes.co.nz/collections/vapoureyes-premium-eliquids/products/a-study-in-apricot?variant=36991698254
4 people are looking at this right now.,On the product image,Social Proof,Activity Notification,Product Page,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
Last purchased at 11:19am today.,On the product image,Social Proof,Activity Notification,Product Page,No,https://www.very.co.uk/aruba-outdoor-2-seaternbspmodular-sofa-set/1600200267.prd
41 people have looked at this in the last couple of hours,Product image,Social Proof,Activity Notification,Product Page,No,https://www.victorianplumbing.co.uk/heritage-soap-dish-holder-chrome-ahc04
"Someone from Osijek, Croatia just bought TMC CP Style Single Pistol Pouch",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.weapon762.com/mag-pouches/39-tmc-cqb-universal-double-mag-pouch-khaki.html
"Ashley in Auburn, United States purchased a Check Plz iPhone X/Xs Case about 24 minutes ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://www.wildflowercases.com/products/check-plz-iphone-10-x-case?variant=42497025861
6 others have already bought this deal today!,Below product image,Social Proof,Activity Notification,Product Page,No,https://www.wowcher.co.uk/deal/london/10587660/babyliss-curl-secret-hair-styler-54?usr_src=search
232 people are viewing this offer!,Bottom left corner,Social Proof,Activity Notification,Product Page,No,https://www.wsjwine.com/jsp/offer/recr/us/wsj/offer_temp6.jsp?offerId=90900137&promoCode=0033005&&campaignsrc=0033005&offer=fy19_q2/top12_q2q4_v2_tabbed/2BonusRedRaymond2Glasses/69/save185/spt_open
"Someone in Shelby twp, United States just bought Galaxy Note 8 10000mAh ZeroShock Battery Case 3 days ago",Periodic popup,Social Proof,Activity Notification,Product Page,No,https://zerolemon.com/collections/new-release/products/galaxy-s10-plus-extended-battery-case-5000mah
Someone added 1pc 4ocean natural stone beads beaded bracelet men boho handmade to their cart RIGHT NOW,Periodic popup,Social Proof,Activity Notification,Product Page,No,https://zodeys.com/products/real-raccoon-fur-slippers-women-2018-sliders-casual-fox-hair-flat-fluffy-fashion-home-summer-big-size-45-furry-flip-flops-shoes?utm_source=show-recent-order&utm_medium=notification
436 users are currently active on our website Just now,Lower left corner,Social Proof,Activity Notification,Product Page,No,https://zox.la/collections/straps/products/make-it-happen
39 people have this in their cart,Product detail,Social Proof,Activity Notification,Cart Page,No,https://www.overstock.ca/Home-Garden/Sleep-Zone-Huntington-10-inch-Split-California-King-size-Memory-Foam-Mattress-and-Adjustable-Bed-Set/15923853/product.html?refccid=SHQYBMI7HNTYT6CCRZBPK4ASWI&searchidx=6
No thanks! I don't like deals,Popup,Misdirection,Confirmshaming,Product Page,No,https://koala.com/products/koala-mattress
"No, I'll rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://biofinest.com/en/home/445-barley-grass-juice-powder-organic-superfood.html
I don't like discounts,Popup,Misdirection,Confirmshaming,Product Page,No,https://uk.scitecnutrition.com/products/vita-greens-fruits
"No, thanks. I don't like great deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://bonescoffee.com/products/strawberry-cheesecake-by-bones-coffee-company-16oz?variant=31049004609
"No Thanks, I rather pay full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://bumpboxes.com/
"No thanks, I’ll skip this amazing super-saver deal. I don’t need so many beautiful textures",Bottom of page,Misdirection,Confirmshaming,Product Page,No,https://cgelves.com/shop/seamless-fabric-material-textures-tileable-fancy-lace-trims-mega-bundle-for-3d-cg-artists/
"No, I don't feel lucky",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://chicdelta.com/products/adjustable-heel-ankle-belt
"No thanks, I don't like saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://chicsoul.com/collections/new-arrivals/products/beauty-in-simplicity-top-navy?variant=20864560922713
"No thanks, I'd like 0% off",Popup,Misdirection,Confirmshaming,Product Page,No,https://criquetshirts.com/products/cotton-cashmere-pocket-crew-neck-sweater-charcoal-hthr
"No thanks, I despise coupons!",Popup,Misdirection,Confirmshaming,Product Page,No,https://cuddleclones.com/product/plush-cuddle-clone
"No thanks, I don't want to build one.. I'd rather kick rocks!",Popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"No, I don't feel lucky.",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://diyelectricskateboard.com/products/electric-skateboard-motor-6374-190kv?utm_source=show-recent-order&utm_medium=notification
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://dudegadgets.com/products/10-pcs-finger-massage-rings?variant=397727596551
"No thanks, I don't like getting free stuff.",Popup,Misdirection,Confirmshaming,Product Page,No,https://faradayscienceshop.com/collections/frontpage/products/air-swimmer-the-remote-controlled-fish-blimp
"No, I don't feel lucky",Sidewheel popup,Misdirection,Confirmshaming,Product Page,No,https://fuzz.online/products/fg-grater
"No thanks, I don't like good deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://fwreshinc.com/products/shade-shifter-multichrome-nail-polish-0-5-oz-full-sized-bottle
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://hackettequipment.com/collections/all-products/products/heavy-duty-range-bag-large-tactical-backpack
"no thanks, I like paying full price",Popup,Misdirection,Confirmshaming,Product Page,No,https://homesickcandles.com/products/love-mini-single-candle
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://hygoshop.com/products/anti-snoring-device
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://ikigaisoul.com/products/ahi-hoodie
I WANT TO PAY MORE LATER ;),Popup,Misdirection,Confirmshaming,Product Page,No,https://leprix.com/shop/givenchy/shoulder-bags/chain-pandora-box-handbag-stingray-mini
"No thanks, I dont want a discount",Popup,Misdirection,Confirmshaming,Product Page,No,https://madebyhemp.com/product/cbd-vape-kit/
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://makegoodies.com/collections/car-accessories/products/universal-car-phone-mount
"No thanks, I don't like FREE stuff.",Popup,Misdirection,Confirmshaming,Product Page,No,https://marleylilly.com/product/monogrammed-duck-boots
"No thanks, I prefer to pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://milkandeggs.com/products/new-york-steak-center-cut-grass-fed-12-oz
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://motoloot.com/collections/moto-key-tags/products/come-to-the-darkside-motorcycle-keychain
"NO, I DON'T FEEL LUCKY",Popup,Misdirection,Confirmshaming,Product Page,No,https://nichecanvas.com/collections/best-sellers-1/products/abstract-art-canvas
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://pelacase.com/products/save-the-waves-black-google-pixel-2xl-eco-friendly-phone-case?variant=12170059087986
"No thanks, I hate saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://pitstopusa.com/i-6313382-pyrotect-blue-iridium-sa2010-2015-helmet-shield.html
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://rednecknationstrong.com/products/mudweiser-rnss-54
I do not want to protect my item,Popup after adding to cart,Misdirection,Confirmshaming,Product Page,No,https://secure.mdg.com/ProductDetail.aspx?ItemID=6461&CategoryID=25
"No, thanks, I´d rather pay more",Popup,Misdirection,Confirmshaming,Product Page,No,https://shapermint.com/collections/sale/products/empetua-ultra-thin-high-waisted-panties?variant=7568059859004
"No thanks, I don't like saving money",Popup,Misdirection,Confirmshaming,Product Page,No,https://shop.buyautoparts.com/search?isort=globalpop&lbc=buyautoparts&method=and&p=Q&ts=custom&uid=378116838&w=*&af=part%3acomputerchipprogrammerinputcable%20brand%3aEdgeProducts
"No, I don't want a discount",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopilovejewelry.com/collections/pajamas/products/monogram-girls-pink-striped-pajama-set
"No thanks, I'll pay full price!",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopthemint.com/collections/dresses/products/88949-red?variant=22779286323258
"NO THANKS, I DON'T WANT TO SAVE MONEY",Popup,Misdirection,Confirmshaming,Product Page,No,https://shopurbansociety.com/collections/best-sellers/products/loca-windbreaker
"No Thanks, I Don't Like Exclusive Offers.",Popup,Misdirection,Confirmshaming,Product Page,No,https://southerntide.com/products/backrush-stripe-intercoastal-performance-shirt
"No thanks, I'll just pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://store.geeksaresexy.net/sales/productivity-and-success-bundle?utm_source=geeksaresexy.net&utm_medium=referral&utm_campaign=productivity-and-success-bundle_122018&utm_term=scsf-310304&utm_content=a0x1P000004fWoO&scsonar=1
"NO, I'D RATHER PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://store.ringtoperfection.com/collections/bracelets/products/ultimate-multifunctional-self-defense-bracelet-necklace
"No, I don't feel lucky",Wheel popup,Misdirection,Confirmshaming,Product Page,No,https://sunglass.la/collections/futuristic-sunglasses/products/super-oversize-square-sunglasses-flat-top-neutral-color-flat-lens-69mm
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://thedollarejuiceclub.com/products/churros-ice-cream
"No, thank you. I prefer to pay the full price",Popup on account creation,Misdirection,Confirmshaming,Product Page,No,https://theluxurycloset.com/
No I don't feel lucky,Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://topcoat.store/collections/web-specials/products/topcoat-f11-pro-prep-kit
I'd rather not save,Banner if you decline the other upsell they show it again,Misdirection,Confirmshaming,Product Page,No,https://topcoat.store/products/topcoat-f11-prep-kit
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://trendia.in/collections/home-garden/products/high-pressure-power-washer?lshst=collection
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://ttdeye.com/collections/popular-products/products/ice-green
"No thanks, I’d rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://u90soccer.com/real-madrid-18-19-away-jersey-118730.html
"No thanks, I don’t like fun and games.",Popup,Misdirection,Confirmshaming,Product Page,No,https://us.buywow.com/collections/hair-care/products/wow-10-in-1-hair-oil-no-parabens-or-mineral-oils-200-ml-6-8-fl-oz
"no thanks, I hate fun & games",Popup,Misdirection,Confirmshaming,Product Page,No,https://us.buywow.com/collections/vitamins-dietary-supplements/products/slimming-gel-by-wow-100-pure-natural-synthesis-containing-essential-oils-himalayan-spring-water-minerals-suitable-for-all-skin-types-aids-weight-loss-strengthens-skins-surface-pack-of-1
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://voe21.com/collections/all-products-1/products/the-void
"No thanks, I don't want 15% off",Popup,Misdirection,Confirmshaming,Product Page,No,https://wethepeopleholsters.com/collections/custom-printed-holsters/products/trump-presidential-kydex-holster-commemorating-inauguration-day-hand-made-in-the-usa-by-wethepeopleholsters
"No, I'd rather do it the hard way...",Popup,Misdirection,Confirmshaming,Product Page,No,https://wholesalesuiteplugin.com/woocommerce-wholesale-lead-capture/
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://wickedcushions.com/products/beats-replacement-ear-pads-compatible-with-solo-2-3-wireless-white
"No Thanks, I Don't Like Saving Money.",Popup,Misdirection,Confirmshaming,Product Page,No,https://workingperson.com/dickies-mens-1953-wh-cotton-relaxed-fit-painter-pants.html
"NO THANKS, I DON’T MIND MISSING OUT",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.1-day.co.nz/products/ue-megaboom-charcoal-black-4
I'LL PAY FULL PRICE,Full page popup,Misdirection,Confirmshaming,Product Page,No,https://www.adoreme.com/designer-collection/amelie-plus
"No, I don't want great deals.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.airfiltersdelivered.com/16-x-28-x-6-aprilaire-spacegard/16-x-28-x-6-merv-8-aftermarket-replacement-filter.html
"No thanks, I don't like free stuff",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.annthegran.com/prd/designs/machine-embroidery-designs/christmas-labrador-retriever-head/1/39803.aspx
"No thanks, I want to pay the full price.",Pop-up message,Misdirection,Confirmshaming,Product Page,No,https://www.artgallery.co.uk/work/276649
"No, I don't feel lucky",Side wheel pop-up,Misdirection,Confirmshaming,Product Page,No,https://www.badassglass.com/products/12-spiral-water-pipe
"NO, I'LL PAY FULL PRICE",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.beckettsimonon.com/collections/mens/products/mens-oxford-shoe-black-leather?variant=18030296773
"No, thanks. I'd rather pay full price.",Popup,Misdirection,Confirmshaming,Product Page,No,https://www.bestsellerclothing.ca/collections/bestseller-men-outerwear-coats/products/houndstooth-dress-coat-with-recycled-material-light-grey-melange-en
